month,stnNm,avgTa,minTa,maxTa,sumRn,avgRhm,avgWs
1,광주,1.9,-2.0,6.8,1.2,67.8,1.2
1,대전,0.5,-4.1,6.0,0.7,62.8,1.6
1,부산,4.0,0.2,8.8,1.1,45.0,3.4
1,서울,-0.4,-4.1,3.9,1.4,61.1,2.3
1,제주,6.7,4.0,9.8,1.4,55.4,4.2
2,광주,1.1,-2.9,5.7,1.5,64.9,1.5
2,대전,-0.1,-5.1,5.8,0.7,56.3,2.1
2,부산,2.9,-1.2,7.9,5.3,41.0,3.6
2,서울,-1.2,-5.3,3.9,1.0,55.7,2.6
2,제주,5.2,2.5,8.1,3.6,58.9,4.4
3,광주,9.3,4.3,15.5,2.6,59.6,1.7
3,대전,8.6,3.1,14.9,3.1,54.6,2.4
3,부산,9.8,6.0,14.2,3.7,58.0,3.7
3,서울,8.0,3.3,13.6,2.7,56.1,2.8
3,제주,11.5,8.3,15.2,4.6,57.2,4.0
4,광주,14.6,8.9,21.5,5.6,59.9,1.7
4,대전,14.4,7.8,21.5,6.1,55.5,2.0
4,부산,14.0,10.4,18.3,7.5,62.2,3.8
4,서울,13.4,8.2,19.0,8.6,60.5,2.5
4,제주,15.4,11.2,19.7,2.4,57.7,3.3
5,광주,18.2,13.6,23.5,8.6,68.1,1.4
5,대전,18.0,12.5,23.6,7.8,65.1,1.9
5,부산,17.4,14.1,21.4,10.2,71.4,3.2
5,서울,17.8,13.3,22.7,8.2,66.9,2.3
5,제주,18.0,14.6,22.0,7.4,65.9,2.9
6,광주,24.0,19.5,29.0,17.6,70.8,1.6
6,대전,24.0,19.2,29.5,23.1,67.5,1.7
6,부산,22.3,19.7,25.7,24.4,77.4,3.3
6,서울,24.0,20.0,28.5,5.8,68.3,2.3
6,제주,23.4,20.2,26.9,5.3,70.4,2.7
7,광주,28.2,24.1,33.2,69.2,73.4,1.6
7,대전,28.3,24.3,32.9,27.3,71.0,1.9
7,부산,27.8,24.9,31.3,34.5,73.3,3.1
7,서울,28.8,25.7,32.6,19.6,71.8,2.3
7,제주,28.3,25.8,31.3,12.9,71.6,3.2
8,광주,27.7,24.3,32.2,30.9,79.6,1.2
8,대전,28.2,24.4,32.9,8.1,75.6,1.6
8,부산,28.4,25.8,31.9,17.6,77.7,3.3
8,서울,28.2,25.3,31.9,17.1,75.6,2.3
8,제주,29.6,26.9,32.9,4.2,70.6,2.8
9,광주,24.1,21.0,28.3,10.4,80.7,1.3
9,대전,23.3,20.1,27.7,16.4,81.2,1.6
9,부산,25.6,23.1,29.6,3.6,74.3,3.0
9,서울,23.4,20.3,27.4,23.2,75.4,2.0
9,제주,27.1,24.6,30.3,13.1,73.4,2.8
10,광주,18.4,15.0,22.9,7.8,77.1,1.1
10,대전,16.9,13.4,21.5,13.2,80.6,1.6
10,부산,19.6,17.0,23.6,8.4,71.3,2.5
10,서울,16.5,13.1,20.4,10.4,75.5,2.3
10,제주,21.9,19.7,24.8,4.2,67.6,3.4
11,광주,10.6,6.0,16.2,4.1,68.0,1.2
11,대전,8.9,3.6,15.5,2.4,65.7,1.6
11,부산,12.9,8.7,17.9,5.1,52.8,2.9
11,서울,9.0,4.6,14.2,3.0,61.3,2.1
11,제주,14.4,11.3,18.1,6.6,59.0,3.4
12,광주,4.6,0.1,9.8,2.4,64.2,1.8
12,대전,2.3,-2.5,7.6,3.3,63.7,1.7
12,부산,7.0,2.8,11.9,1.5,48.5,2.5
12,서울,1.2,-2.9,5.3,3.7,61.3,2.3
12,제주,9.6,6.1,13.3,1.1,57.8,3.8
