month,avgTa,minTa,maxTa,sumRn,avgRhm,avgWs
1,2.54,-1.1999999999999997,7.0600000000000005,1.16,58.42,2.54
2,1.58,-2.4,6.279999999999999,2.42,55.36,2.8400000000000003
3,9.440000000000001,5.0,14.680000000000001,3.34,57.1,2.92
4,14.36,9.3,20.0,6.04,59.160000000000004,2.66
5,17.880000000000003,13.62,22.64,8.44,67.47999999999999,2.34
6,23.54,19.72,27.919999999999998,15.24,70.88,2.32
7,28.28,24.96,32.260000000000005,32.7,72.22,2.42
8,28.419999999999998,25.34,32.36,15.580000000000002,75.82,2.2399999999999998
9,24.7,21.82,28.660000000000004,13.34,77.0,2.1399999999999997
10,18.66,15.639999999999997,22.64,8.8,74.41999999999999,2.18
11,11.16,6.840000000000001,16.380000000000003,4.24,61.36,2.2399999999999998
12,4.9399999999999995,0.72,9.580000000000002,2.4,59.1,2.42
